hour,avg_n_active,avg_n_moving,avg_n_parked,avg_pct_moving,avg_pct_parked
0,4739.44,46.19,4693.25,2.04,97.96
1,4739.44,37.62,4701.81,1.72,98.28
2,4739.44,27.38,4712.06,0.59,99.41
3,4739.44,31.41,4708.03,0.66,99.34
4,4739.44,57.75,4681.69,1.17,98.83
5,4739.44,112.69,4626.75,2.26,97.74
6,4739.44,260.19,4479.25,5.14,94.86
7,4739.44,421.69,4317.75,8.32,91.68
8,4739.44,519.81,4219.62,10.29,89.71
9,4739.44,448.75,4290.69,9.01,90.99
10,4739.44,414.81,4324.62,8.45,91.55
11,4739.44,404.75,4334.69,8.34,91.66
12,4739.44,402.62,4336.81,8.35,91.65
13,4739.44,381.06,4358.38,7.79,92.21
14,4739.44,385.28,4354.16,7.78,92.22
15,4739.44,408.56,4330.88,8.31,91.69
16,4739.44,458.0,4281.44,9.38,90.62
17,4739.44,476.94,4262.5,9.82,90.18
18,4739.44,489.16,4250.28,10.01,89.99
19,4739.44,410.78,4328.66,8.45,91.55
20,4739.44,268.03,4471.41,5.54,94.46
21,4739.44,141.19,4598.25,2.94,97.06
22,4739.44,104.34,4635.09,2.18,97.82
23,4739.44,75.03,4664.41,1.57,98.43
