hour,avg_n_active,avg_n_moving,avg_n_parked,avg_pct_moving,avg_pct_parked,city_n_moving,city_n_parked_active,city_n_parked_total,pct_moving_total,pct_parked_total,city_n_onstreet_0m,city_n_offstreet_0m,city_n_onstreet_2m,city_n_offstreet_2m
0,4739.44,46.19,4693.25,2.04,97.96,10031,1019247,1589969,0.63,99.37,1033480,556489,1214736,375233
1,4739.44,37.62,4701.81,1.72,98.28,8170,1021106,1591830,0.51,99.49,1034690,557140,1216158,375672
2,4739.44,27.38,4712.06,0.59,99.41,5946,1023332,1594054,0.37,99.63,1036135,557919,1217857,376197
3,4739.44,31.41,4708.03,0.66,99.34,6821,1022457,1593179,0.43,99.57,1035566,557613,1217189,375990
4,4739.44,57.75,4681.69,1.17,98.83,12542,1016737,1587458,0.78,99.22,1031848,555610,1212818,374640
5,4739.44,112.69,4626.75,2.26,97.74,24473,1004805,1575527,1.53,98.47,1024093,551434,1203703,371824
6,4739.44,260.19,4479.25,5.14,94.86,56506,972772,1543494,3.53,96.47,1003271,540223,1179229,364265
7,4739.44,421.69,4317.75,8.32,91.68,91580,937699,1508420,5.72,94.28,980473,527947,1152433,355987
8,4739.44,519.81,4219.62,10.29,89.71,112889,916388,1487111,7.06,92.94,966622,520489,1136153,350958
9,4739.44,448.75,4290.69,9.01,90.99,97456,931822,1502544,6.09,93.91,976654,525890,1147944,354600
10,4739.44,414.81,4324.62,8.45,91.55,90086,939191,1509914,5.63,94.37,981444,528470,1153574,356340
11,4739.44,404.75,4334.69,8.34,91.66,87901,941378,1512099,5.49,94.51,982864,529235,1155244,356855
12,4739.44,402.62,4336.81,8.35,91.65,87438,941838,1512562,5.46,94.54,983165,529397,1155597,356965
13,4739.44,381.06,4358.38,7.79,92.21,82756,946523,1517244,5.17,94.83,986209,531035,1159174,358070
14,4739.44,385.28,4354.16,7.78,92.22,83672,945606,1516328,5.23,94.77,985613,530715,1158475,357853
15,4739.44,408.56,4330.88,8.31,91.69,88728,940550,1511272,5.55,94.45,982327,528945,1154612,356660
16,4739.44,458.0,4281.44,9.38,90.62,99465,929813,1500535,6.22,93.78,975348,525187,1146409,354126
17,4739.44,476.94,4262.5,9.82,90.18,103578,925700,1496422,6.47,93.53,972674,523748,1143266,353156
18,4739.44,489.16,4250.28,10.01,89.99,106232,923046,1493768,6.64,93.36,970949,522819,1141239,352529
19,4739.44,410.78,4328.66,8.45,91.55,89210,940068,1510790,5.58,94.42,982014,528776,1154244,356546
20,4739.44,268.03,4471.41,5.54,94.46,58209,971070,1541791,3.64,96.36,1002164,539627,1177928,363863
21,4739.44,141.19,4598.25,2.94,97.06,30663,998616,1569337,1.92,98.08,1020069,549268,1198973,370364
22,4739.44,104.34,4635.09,2.18,97.82,22660,1006616,1577340,1.42,98.58,1025271,552069,1205088,372252
23,4739.44,75.03,4664.41,1.57,98.43,16294,1012984,1583706,1.02,98.98,1029409,554297,1209951,373755
