Numero,Name,n_tot,n_day,n_night,area_km2,dens_tot,dens_day,dens_night,pct_night,dens_tot_city,dens_day_city,dens_night_city,n_tot_city
3,Municipio III (ex IV),2634,2075,559,98.02394052108974,26.87098667935409,21.168298162361328,5.702688516992763,21.22247532270311,6769.427243417301,5332.787217194723,1436.6400262225782,663566
4,Municipio IV (ex V),3598,2900,698,49.092586412859376,73.29008844108354,59.07205571960597,14.218032721477575,19.399666481378546,18463.4798597377,14881.626346092089,3581.8535136456135,906420
6,Municipio VI (ex VIII),5259,4080,1179,114.03603197925064,46.117002746613444,35.77816527974574,10.338837466867703,22.418710781517397,11617.946839947586,9013.352939149298,2604.5939007982893,1324865
8,Municipio VIII (ex XI),46995,40324,6671,47.06310603155927,998.5528785220083,856.8070278438443,141.745850678164,14.195127141185232,251558.72169938992,215849.64131942118,35709.08037996872,11839135
9,Municipio IX (ex XII),183274,157898,25376,183.332672596874,999.6799665000083,861.2649221952831,138.41504430472523,13.845935593701233,251842.6614056257,216972.6887099397,34869.97269568601,46170988
10,Municipio X (ex XIII),23493,18232,5261,150.77195952646395,155.81809823116637,120.92434201466928,34.893756216497096,22.393904567317925,39254.20721502458,30463.65751263475,8790.549702389832,5918434
11,Municipio XI (ex XV),31321,26352,4969,71.44820844066982,438.3734831645048,368.8266028655225,69.54688029898229,15.864755276012898,110436.48806560558,92916.00949857404,17520.478567031514,7890489
12,Municipio XII (ex XVI),14124,11177,2947,73.0337406944267,193.39006691571285,153.03885428468723,40.35121263102562,20.865193996035117,48719.46100108705,38554.050949387565,10165.410051699488,3558164
13,Municipio XIII (ex XVIII),5947,4825,1122,66.99077397337413,88.77341829732657,72.0248433301834,16.748574967143167,18.866655456532705,22364.091184449484,18144.735154694597,4219.356029754888,1498188
14,Municipio XIV (ex XIX),3882,3113,769,133.4612596300751,29.08709246983012,23.325120777584022,5.761971692246101,19.809376609994846,7327.715894718283,5876.141056223086,1451.5748384951985,977966
1,Municipio I (ex I e XVII),12174,9269,2905,20.186768283449798,603.068298454731,459.1621536370052,143.90614481772576,23.862329554788893,151926.94700479464,115673.63822798106,36253.30877681357,3066914
2,Municipio II (ex II e III),4466,3470,996,19.498531374884067,229.04289118680117,177.96212100721004,51.08077017959113,22.301836094939542,57701.23762155302,44832.80218244267,12868.435439110346,1125089
5,Municipio V (ex VI e VII),4646,3603,1043,26.892351912350268,172.76287381418402,133.97861264582545,38.784261168358576,22.44941885492897,43522.990748507735,33752.33225718325,9770.658491324488,1170436
7,Municipio VII (ex IX e X),12449,9899,2550,45.735695850759996,272.1943936443493,216.43925638086705,55.75513726348227,20.48357297774922,68572.10588613199,54526.08853456668,14046.017351565315,3136193
15,Municipio XV (ex XX),2855,2254,601,187.18798774407614,15.252047069939994,12.041370961696934,3.21067610824306,21.050788091068302,3842.3458053538293,3033.501732142743,808.8440732110863,719241
